atomic_ea_max,atomic_en_allredroch_sum,atomic_radius_max,atomic_radius_calculated_max,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,Z_sum,phase_disambiguated
12.5,1.18625,46.25,52.0,27.5,37.5,91.5,18.5,8.25,52.775,-454912.9875,-71.733875,53.25,fluorite
16.7,1.23875,46.25,52.0,27.5,37.5,88.375,12500.0,8.25,52.1,-454912.9875,-71.733875,52.25,fluorite
52.2704,1.683175,63.0045,69.5383,84.006,56.4707,125.3868,19.1952,35.4692,48.36844,-300472.71637,-89.2129719,26.66686668666867,spinel
18.6704,1.620324,23.338,27.6722,30.006,23.1713,126.0252,24.0048,19.1705,39.98021666666667,-558686.58164,-104.4770579,23.83333333333333,spinel
22.4,1.67,28.0,32.2,36.0,27.8,128.4,28.8,16.4,48.32000000000001,-380885.64,-109.7254,27.2,spinel
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32,-240601.72,-77.1958,25.2,rock salt
29.4784,1.636681,35.532,40.0064,47.376,33.1632,125.2802,3.508,20.171,40.26305,-395370.70106,-101.5896728,25.6317,spinel
18.944,1.5463,31.5,34.86,35.7,29.19,131.49,30.24,24.15,48.98599999999999,-473362.8689999999,-115.21167,22.91,spinel
10.46719,1.643757,93.338,104.0052,113.339,83.33749999999999,125.8745,6.667,54.6694,40.19456666666667,-1101074.98433,-365.7696208999999,25.6253,spinel
10.46719,1.646707,93.338,104.0052,113.339,83.33749999999999,125.7095,6.667,54.6694,40.22456666666667,-1101074.98433,-365.7696208999999,25.7303,spinel
10.46719,1.648999,93.338,104.0052,113.339,83.33749999999999,125.6253,6.667,54.6694,40.25236666666666,-1101074.98433,-365.7696208999999,25.7999400119976,spinel
10.46562,1.651937,93.324,103.9896,113.322,83.325,125.4173,6.665999999999999,54.6612,40.2776,-1100909.83134,-365.7147581999999,25.9163,spinel
25.0,1.1,92.5,115.5,20.0,16.2,58.5,45.0,6.9,45.48333333333334,-1651381.45,-322.975,57.8,fluorite
22.4,1.642,28.0,33.2,36.0,27.8,128.6,28.8,23.0,48.52,-450821.78,-109.7254,26.6,spinel
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32000000000001,-240601.72,-77.1958,25.2,rock salt
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
22.4,1.556,30.0,33.2,36.0,27.8,128.4,28.8,23.0,49.0,-450821.78,-109.7254,23.0,spinel
23.68,1.538,30.0,35.2,36.0,27.6,130.0,8.0,16.4,48.76000000000001,-330305.98,-109.7254,23.4,spinel
23.68,1.52,30.0,35.2,34.0,27.6,132.0,8.0,16.4,48.72000000000001,-330305.98,-109.7254,23.8,spinel
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
12.86,1.546,30.0,33.2,36.0,27.8,129.4,28.8,23.0,49.0,-450821.78,-109.7254,22.8,spinel
22.4,1.556,30.0,33.2,36.0,27.8,128.4,28.8,23.0,49.0,-450821.78,-109.7254,23.0,spinel
24.0,1.37,97.5,16.6,18.0,84.5,149.5,30.75,11.5,45.03333333333333,-1793682.4,-293.9765,41.7,perovskite
24.0,1.318,97.5,16.6,18.0,84.5,148.7,30.75,11.5,45.25,-1793682.4,-293.9765,40.0,perovskite
24.0,1.361,97.5,16.6,18.0,84.5,148.8,30.75,11.5,45.05,-1793682.4,-293.9765,41.8,perovskite
5.0,1.156,77.5,104.0,55.0,75.0,91.9,17.0,15.0,45.28333333333334,-572366.15,-94.618,65.8,pyrochlore
9.12,1.385,70.0,80.5,60.0,69.5,137.6,72.0,1.5,39.35,-952214.1,-255.728,38.2,perovskite
10.73,1.157,107.5,126.5,17.0,99.0,170.2,17.0,4.4,46.06666666666666,-548095.7,-92.897,50.50000000000001,perovskite
8.61,1.14,100.0,109.5,17.0,96.0,165.6,6.75,4.7,44.48333333333334,-592028.7,-102.6665,38.8,perovskite
8.61,1.14,100.0,109.5,17.0,96.0,165.6,6.75,4.7,44.48333333333334,-592028.7,-102.6665,38.8,multiphase
10.46719,1.652331,93.338,104.0052,113.339,83.33749999999999,126.4036,11.9952,54.6694,48.59519999999999,-1101074.98433,-365.7696208999999,26.4998499849985,spinel
13.7136,1.13012,55.7115,60.5684,15.719,48.2833,137.1509,17.57055,7.4282,55.40516,-1088687.53433,-170.2840568,51.71502849715029,fluorite
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32000000000001,-240601.72,-77.1958,25.2,rock salt
12.86,1.538,30.0,33.2,34.0,27.8,130.4,28.8,23.0,48.96,-450821.78,-109.7254,23.4,spinel
10.46719,1.632991,93.338,104.0052,113.339,83.33749999999999,126.4257,6.667,54.6694,40.5414,-1101074.98433,-365.7696208999999,25.73325334933013,spinel
14.38,1.56,29.0,38.0,46.0,29.0,132.4,28.8,23.0,48.76000000000001,-450821.78,-109.7254,28.8,spinel
10.0,1.086,39.0,47.6,8.8,33.8,66.2,18.8,5.600000000000001,56.52,-762119.38,-119.2864,59.2,others
25.0,1.083,92.5,23.8,11.0,16.9,33.1,37.0,7.0,47.55,-544961.1,-106.0585,58.6,fluorite
18.6704,1.356938,33.34,36.50729999999999,30.006,32.0064,139.6946,2.25045,22.0044,40.95263333333332,-211738.10582,-36.0913835,22.0,spinel
25.1717,1.603304,23.338,30.006,53.34399999999999,22.8379,127.0012,2.11709,35.007,40.11113333333333,-375759.9536299999,-91.4561209,37.66859999999999,others
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32,-240601.72,-77.1958,25.2,rock salt
25.3008,1.652217,30.4965,33.6591,40.662,27.3339,127.3394,27.2736,23.3105,48.5489,-456907.8740299999,-109.3169208,26.043,spinel
10.73,1.145,107.5,126.5,11.0,99.0,172.7,17.0,4.4,46.38333333333333,-548095.7,-92.897,50.3,perovskite
10.73,1.157,107.5,126.5,17.0,99.0,170.2,17.0,4.4,46.06666666666667,-548095.7,-92.897,50.50000000000001,perovskite
10.73,1.167,107.5,126.5,20.0,99.0,170.3,17.0,6.9,46.08333333333334,-548095.7,-92.897,53.7,perovskite
10.73,1.179,107.5,126.5,16.0,99.0,169.0,17.0,4.7,45.83333333333334,-548095.7,-92.897,48.7,perovskite
10.73,1.164,107.5,126.5,23.0,99.0,171.0,17.0,4.4,45.88333333333333,-548095.7,-92.897,50.60000000000001,perovskite
10.73,1.174,107.5,126.5,31.0,99.0,171.1,17.0,16.1,45.95,-548095.7,-92.897,53.8,perovskite
10.0,1.082,39.0,49.40000000000001,8.200000000000001,33.8,66.2,18.8,5.2,57.6,-762119.38,-119.8624,55.0,fluorite
9.12,1.2235,63.0,79.2,49.5,61.2,154.45,18.0,19.8,33.34285714285715,-425137.005,-83.39985,32.75,perovskite
22.4,1.654,28.0,33.2,36.0,27.8,128.8,28.8,23.0,48.36,-450821.78,-107.8608,26.8,spinel
23.68,1.688,28.0,32.2,36.0,27.8,129.8,28.8,16.4,48.28,-380885.64,-109.7254,27.0,rock salt
17.3264,1.66568,38.08000000000001,43.792,48.96,37.808,129.908,39.16800000000001,22.304,48.4528,-518004.4704,-149.226544,26.46,spinel
22.4,1.616,28.0,33.2,36.0,27.8,126.2,28.8,23.0,47.8,-670289.8400000001,-125.3474,23.4,spinel
9.12,1.426,70.0,78.0,85.0,62.5,110.2,13.0,41.0,39.35,-825764.95,-274.3135,44.0,perovskite
9.12,1.422,68.25,76.05,82.875,60.9375,110.3375,13.0,39.975,33.73214285714285,-805120.8262499999,-267.4556625,43.95,perovskite
9.12,1.418,66.5,74.1,80.75,59.375,110.475,13.0,38.95,33.73571428571429,-784476.7024999999,-260.5978249999999,43.9,perovskite
9.12,1.414,64.75,72.15,78.625,57.8125,110.6125,13.0,37.925,33.73928571428571,-763832.57875,-253.7399875,43.85,perovskite
25.0,1.079,92.5,23.8,11.0,16.9,33.1,37.0,7.0,47.81666666666666,-544961.1,-106.0585,57.8,fluorite
25.0,1.086,92.5,22.2,11.0,16.9,49.1,37.0,7.0,47.41666666666666,-544961.1,-106.0585,58.7,fluorite
10.0,1.222,37.0,42.40000000000001,22.0,32.4,115.6,14.8,6.600000000000001,51.72000000000001,-762119.38,-125.3474,44.4,fluorite
22.4,1.532,29.0,33.4,36.0,27.8,129.0,28.8,16.4,47.24,-380885.64,-109.7254,21.8,spinel
22.4,1.678,28.0,33.2,36.0,27.8,128.8,28.8,23.0,48.04000000000001,-450821.78,-121.7122,27.6,spinel
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
10.42946,1.568372,22.708,28.5472,29.16,22.0592,128.2684,6.488,18.653,34.34334285714286,-543605.06024,-101.6567414,24.7012,others
9.88934,1.537231,21.532,27.0688,27.684,20.9168,131.8066,6.151999999999999,17.687,34.79175714285714,-515452.88696,-96.3921506,26.30769230769231,others
