pca_comp_1,pca_comp_2,pca_comp_3,pca_comp_4,pca_comp_5,pca_comp_6,pca_comp_7,pca_comp_8,pca_comp_9,pca_comp_10,pca_comp_11,pca_comp_12,pca_comp_13,pca_comp_14,pca_comp_15,pca_comp_16,pca_comp_17,pca_comp_18,pca_comp_19,pca_comp_20,pca_comp_21,pca_comp_22,pca_comp_23,pca_comp_24,pca_comp_25,pca_comp_26,pca_comp_27,pca_comp_28,pca_comp_29,pca_comp_30,pca_comp_31,pca_comp_32,pca_comp_33,pca_comp_34,pca_comp_35,pca_comp_36,pca_comp_37,pca_comp_38,pca_comp_39,pca_comp_40,pca_comp_41,pca_comp_42,pca_comp_43,pca_comp_44,pca_comp_45,pca_comp_46,pca_comp_47,pca_comp_48,pca_comp_49,pca_comp_50,phase_disambiguated
-570827.9864384197,-57043.68094426354,-199878.44979069027,-135704.96504692326,-74537.19113370875,-46129.43306346512,-7211.558447055241,-57236.87108645071,-8481.931850894953,-2039.6155218252245,3090.4339024816345,984.6903403045692,-2455.285903549958,-2500.004494280709,-85.47154223845101,365.99502636648333,-67.43646617015837,41.29388641966122,938.1624502290823,1366.2030299893722,98.41596288950332,-183.1006751857867,-831.9491757475048,2473.3262634324014,-913.7272598983944,-466.45666605288795,82.38741583231939,247.01656727352017,26.291695944675556,36.66713501863837,71.12530429167377,40.95461484500227,-51.83892319570823,0.7492296029043003,-43.18368537091044,16.799233402783013,117.21836323702891,51.648100909663235,84.064288613404,-15.841867988635798,42.02099714827747,8.925214139466087,-8.396082438173597,-3.018751688578535,2.90884191764963,7.1279205078261105,-29.330568577356786,32.65804836863176,-18.21300951119787,-15.52515566941327,fluorite
-162965.41406870104,-414829.96006735746,-520408.1332163892,-334276.04755124537,-134168.73837461567,-24799.42726187499,-26674.49994314729,-42234.27359220734,-6867.942231165041,-1566.6953701030839,4340.856605224458,1479.3011075459185,-3667.1736165709117,-3450.909805723901,-504.8644770236404,-332.728326713083,-10.840678333227427,25.952784865421254,250.40697432524715,442.5288557158674,-19.52344128384629,-132.4489109499951,-242.4569319242799,853.325479011959,-329.46450985748663,-228.1228745556587,78.33174614184644,-52.11687866782234,-26.044006252742935,41.900424533095425,21.188894987516477,29.255911310196915,-36.1140463094363,-3.159923485513599,-54.31893187212256,-30.291363061533264,117.56099378399526,58.234462277548865,40.66796997309041,-49.09111058812614,41.858122378485916,-36.31479886054792,40.04262686478164,-47.729741354151045,-67.7917022578692,81.03707719488428,-12.68237456530798,8.554257769398205,-39.95290923278034,3.1110092054796152,fluorite
-435958.9306809996,-175347.70508424277,-305850.80257818825,-201374.898834392,-94255.58870120582,-39069.39891927668,-13650.771811260054,-52280.43799166688,-7922.718653536452,-1888.4024866861291,1941.7988436426078,595.7940129399478,-1482.272837094474,-1589.7415901124425,51.71165307927514,422.9481436030305,-39.54676075926687,91.29928304113646,1019.8640423685921,1406.693769966907,123.038732549404,-513.1622166372445,-751.0467368626094,2362.1037901359236,-898.9783129882419,-490.18458888735637,15.690078014083566,-177.18760726561166,-148.88154016269007,54.35944131190611,-6.071882956207631,-2.0691489221814248,-36.09310158625611,10.416156551610431,-50.49623733903583,-6.558838188428804,120.19765380231999,63.87134606944139,83.16046357511594,-18.989042208441173,49.05719601617898,7.807887159706187,-8.221331074418561,-5.402739713937415,-3.1227011000063682,14.872009317877463,-39.59286177043176,46.54940365842501,-23.579308767139892,-19.205062484376903,fluorite
-570828.241665873,-57043.58959678721,-199878.41154634266,-135704.7391735388,-74537.09768051622,-46129.43894528014,-7211.50513500991,-57236.4483033346,-8481.946256882315,-2038.9306064577884,3101.4411658565446,992.9779545908287,-2472.4119575244417,-2499.4758755760504,-118.22383306364505,197.75838445636404,-22.03862662246141,73.73525566372835,927.6209220569674,1329.4569035141867,82.8300266844274,-368.00110336107326,-793.5194811815976,2357.9157989721843,-907.197768155953,-340.3992375707931,-73.06561593420317,25.395148979833337,-43.02359517755555,26.487909101689905,5.459000463190343,-45.53354374869218,36.171734091750636,0.02746904473624084,-33.47745021939905,-38.59319567509922,-15.723659270544202,7.1878567556085855,-39.40375473546724,-20.073465576694353,3.0084451742880227,22.19991072549747,56.31112444861375,-27.101974459652297,-16.406955006307424,14.463188262535548,1.610797619633862,-0.2486466697795079,-7.159748000868428,-13.670485515386183,fluorite
-162965.72835045288,-414829.8378952669,-520408.0833863823,-334275.79891284683,-134168.62178037662,-24799.43299222474,-26674.407772283943,-42233.710961959565,-6867.853061861009,-1565.8182897405184,4352.07712941227,1489.0668955607325,-3689.31966165444,-3447.7599474018675,-547.128145854699,-553.9612471402447,47.45483687821414,77.26512793191432,226.0205870111153,385.09757812932617,-44.09329368001791,-350.3714217896108,-220.54402710810692,713.167853124723,-331.6287204787166,6.933386188607379,-182.32808207578933,-299.8635092705132,-84.10047725903804,46.90740870305851,-63.72368186565974,-118.05526425118943,112.67123105700422,-3.3650257001104538,-16.68710795353558,-85.104302555176,-130.0420894106985,-32.1946645211609,-176.9386064051487,-62.70368122271673,-31.41527655187799,-12.493393002117648,146.28049163522815,-84.85665713498345,-76.89512410358874,84.55425142073379,70.87590493226438,-82.52738617040782,35.727553493355124,3.3309453241445763,fluorite
-596618.3604820761,-34419.282447245976,-179608.88660989405,-123149.14503454104,-70766.33606586013,-47477.91159173329,-5980.753107254794,-58185.33822204629,-8581.943103606047,-2068.774811078984,2897.157085171565,911.046770021801,-2274.785049553701,-2332.749079549462,-80.70757354667784,227.86846372149245,-27.72450810909895,24.911810692155765,829.2422493464984,1223.0466475531857,76.09835019208441,-74.39529552983491,-774.8929637566883,2303.1279385922503,-844.0352849581285,-463.42897362211005,134.58752366532892,318.91697639201385,66.63944531932815,68.28240727562519,106.15965849521847,58.87827625543924,-72.78367737903018,-1.579586382009053,-46.36375497215886,35.16658788485904,160.91986259979953,70.64888798017769,104.3110565684699,-47.41630509777188,54.07678668731257,15.019952591101976,29.31294763113226,-26.11152445319892,-6.222014021051349,24.797432305685685,-11.805003020698402,12.794011284781844,-6.692928449219978,-39.80803140675026,fluorite
-204230.00244087316,-378630.9285684401,-487976.8369025082,-314186.74843946396,-128135.37660490414,-26956.98261459711,-24705.224195736984,-43751.83772382993,-7027.953191058355,-1613.3849304724656,4030.93646464108,1361.2178272278434,-3377.8180019285032,-3183.254087400713,-495.9182599822922,-547.525765860789,51.38834339171952,8.461805909831558,81.1646007307709,220.1024361281234,-54.238824637066536,37.69700802020867,-154.26477157355635,590.129179899491,-221.73512455527649,-223.93831655496746,159.68189681533596,59.523507799128545,36.502371023155014,91.17162178516682,75.82890447007053,56.99413416705343,-68.77876660809524,-6.808886880523375,-59.17862208502578,-1.4586871261797827,185.55277471651763,87.87311574694242,72.10467101633206,-98.59965256121863,60.587243891080206,-26.004988841279612,99.53567519464715,-83.95164522419235,-81.48331049287859,108.43399195416798,14.286415316687089,-22.094761877532274,-21.980079569686033,-35.94675841949305,fluorite
-141406.64886632145,286906.4070361496,2283.568398404137,-20483.62135665239,-31635.19006545314,-33953.30641825157,-1301.0060444321575,-40620.41681329243,-5985.68871613174,-1443.8010768947152,2321.115201801167,-641.8163583952128,121.25081547234737,-37.086774961440106,-272.5243438990063,-2201.8839249453313,623.1472368067608,-15.641106972857035,-130.25585434727807,-209.74944663894132,-153.23028118194085,141.75809216434757,78.74391585542635,-65.58914459107892,-6.965732602369769,-40.05791204326567,104.1109089636977,-98.57629407656972,96.57457403695034,135.11008006565345,53.854999149738056,-12.471959778130328,35.79675634082638,11.559818920776408,-29.706414812507877,-125.12430449491904,-16.66410319449738,-5.586241017624308,51.653838818876274,27.706351972648942,0.7233785075618823,37.61792227308508,-6.462848427213146,8.245138265186574,15.481103931475074,-11.446793124714262,7.788870367239001,-6.892474251261297,-2.2927902320713573,-21.70474667044379,spinel
-404637.91113023943,-116846.942592123,-32869.51080500368,91781.39729346259,290088.34897658427,-382731.16422568203,-51182.845470829234,-67625.53315668725,-9904.756792649318,-2296.873340731617,-1322.3378505635017,-473.2645323788842,551.4214811820099,-101.99588881713785,-499.0780087958458,-1711.6789434028942,243.9770926638505,39.241374157921484,-1825.067732902955,652.8483002265581,572.505558812007,-184.69661582535323,74.99817461868537,-57.745761136021684,-5.571980471225239,17.393731955147256,15.356890180001807,-165.32806340386736,79.24051966188742,11.194639076952097,55.83764246308866,87.15728654121537,-43.56869447023948,-41.06922214261371,12.26698140075862,36.78096380783216,80.05700341531147,-77.47252372139025,-188.7123376180825,78.01806736924563,132.68030276535538,41.355790237129625,29.898241931117838,-25.922924675906856,3.470188652817904,30.491808624558306,-14.547635300131125,24.181886753026923,-1.0035290402840844,-7.152051453325825,spinel
1245238.4097293457,-1220407.7599713474,-139596.17914484697,521879.6545588945,1604137.9377661669,-1677340.7923492908,-274020.3952379782,-72909.13805290154,-12063.150235791158,-2198.753588192102,4646.0262071833795,1410.7742733984676,-1649.4649342322887,24.20047446225909,1222.0270264727433,1088.6185881618694,532.132845540714,103.68199987225867,5073.108092564998,-2574.8924417649537,-2097.792985903891,-121.77723603266375,202.97932579229928,-100.26675370552944,-50.40427019444356,-260.0937110754024,117.82444393319318,-211.28918135492785,13.774928790715052,116.47724618263267,212.58467235847462,123.56383927933365,-101.4798976401051,-51.828810340723514,-288.56175559942585,68.97807528013671,168.65301653143905,-579.6735103245719,-106.68104740294417,2.5883049745357942,111.3386352688717,10.895899371350444,-8.238829561755106,6.182712191567528,13.96732732398177,10.547997808515735,8.958331038742283,-3.57493879052715,-8.00947883101633,-7.760073278932293,perovskite
1762674.8180240365,-1566465.834851857,-172956.0078049776,656670.892916298,2016200.7153701412,-2083255.50711981,-343917.2870380116,-74587.77907342398,-12532.356895694147,-2187.689489112195,-5070.2496117737965,-1415.1984588780463,1655.9526575417133,141.09621501496198,-1187.4148029550438,385.9918010547187,-1022.979525975037,-155.3627877370106,-5071.793786039225,2739.7945528371697,2287.642752780712,152.23720376236838,-271.93975200994,145.41875929809433,20.46095003802311,238.24311955998027,-198.48258355234182,355.1171514785355,-97.97435972833503,-125.57304075820274,-213.47029445869316,-234.84161231797106,174.80286345574407,73.71053721402671,52.74328352235199,-157.35926506790722,-245.96162482051744,369.0642675862683,393.4959734462248,-226.29331883586053,-303.1840475872351,-64.79537707690636,14.39484771494983,15.430048414714479,-28.916867079166018,-25.484140112190868,6.508418867051373,-1.388622776084773,4.120352781654908,8.807735916010268,spinel
-510431.14332638413,-51866.76057906619,-29650.671736290613,69132.90564313513,225900.64561205707,231887.61172604974,-39040.60819527869,-45611.04721602382,-7590.953718508226,-1778.941278824643,-867.0702202265555,-394.99636333646436,961.719748458559,-927.2062152271153,-16.756409081004808,-1650.8865468260778,509.95037709284725,-11.185632803959109,-626.3851824165143,-932.3484173429721,-251.71676710772235,32.81160030471131,-315.9114767996811,13.784335130487188,86.6352050383246,-183.30134151468772,305.5392400188278,24.158499678725697,-200.67729686393278,-36.75775066803113,90.24065275367094,16.72362313532108,-11.911723892406947,-17.498798584640852,34.92696130416323,44.376452153399036,-24.54384588760344,-22.60224526221333,-18.395125114508808,-28.53725333939322,-16.196240020678967,-78.65517077741293,1.2900473293096129,32.186643136160356,-19.795609582032796,-29.39074167197618,103.107183522618,84.43205333263562,-29.41473225335765,43.77813034828606,spinel
-561512.6350381519,-16738.685863970735,-25747.293852214785,55000.090362946816,181878.0195042902,183456.4992015816,-31784.924393539808,-49057.140553656856,-7895.1628783925535,-1871.9032113719197,-734.1903719858107,-351.8314399858123,862.7279948159143,-906.7578904107481,109.1584257014697,-1074.0696837933065,395.5723409484087,52.162129279005235,61.47910722954481,77.77261285322692,-71.75524756893384,5.473813870792358,251.7187360580686,-91.96483136744494,-56.94936535606047,151.06419281907142,-145.71849355734022,-106.62837181107348,226.68812406524344,-0.9461351076375952,-145.9679333630978,67.32867863424009,-39.711436320961795,-10.822554056401456,-19.936383385569457,12.277034051965765,20.67236714651543,-19.497310398014076,9.178597997092053,-4.097485510275941,-27.62487761420839,-39.65290986902378,-0.29755896092881107,10.028721859637027,-28.61734862767913,-3.134218970505991,35.45583768889889,54.50394216652313,-25.96372477551204,0.1599114649850522,spinel
