VEC_cov,VEC_min_to_max_ratio,Z_cov,Z_min_to_max_ratio,Z_range,atomic_ea_min_to_max_ratio,atomic_ea_range,atomic_ebe_min_to_max_ratio,atomic_ebe_range,atomic_en_allredroch_cov,atomic_en_sanderson_cov,atomic_en_sanderson_min_to_max_ratio,atomic_en_sanderson_range,atomic_hfu_min_to_max_ratio,atomic_radius_calculated_cov,brinell_hardness_range,bulk_mod_cov,coeff_of_lte_min_to_max_ratio,coeff_of_lte_range,covalent_rad_emp_cov,covalent_rad_emp_range,deltaCp_oxides_min_to_max_ratio,deltaCp_oxides_range,density_of_solid_range,electrical_resist_cov,electrical_resist_min_to_max_ratio,electrical_resist_range,entalpia_oxides_cov,entalpia_oxides_min_to_max_ratio,entalpia_oxides_range,mineral_hardness_cov,mineral_hardness_min_to_max_ratio,mineral_hardness_range,oxidation_min_to_max_ratio,poissons_ratio_cov,reflectivity_cov,reflectivity_range,rigidity_mod_min_to_max_ratio,rigidity_mod_range,supercond_temp_cov,supercond_temp_range,thermal_conduct_min_to_max_ratio,thermal_conduct_range,valence_d_eletrons_cov,phase_disambiguated
0.3709418524514501,0.3365384615384615,0.407420225470971,0.2708333333333333,13.125,0.2,10.0,0.1538461538461538,16.5,0.3415723854063614,1.432065697375415,0.0,0.225,0.1509803921568627,0.609934720787193,382.125,1.160309758567799,0.403041825095057,1.9625,0.8797959069706565,37.5,0.1000332631112096,4.0584,2768.5,0.5225909798467688,0.1689189189189189,15.375,-0.2613664834745208,1.748105002357049,203844.0625,0.9052770996876784,0.0,1.375,0.375,0.4638102670106797,0.9105865853584814,0.0,0.15,7.0125,1.020202350701291,0.1625,0.3739130434782609,3.6,0.7272727272727273,fluorite
0.5939689204371263,0.2430555555555555,0.2535446477968085,0.5416666666666667,6.6,0.2,8.0,0.3076923076923077,10.8,0.0625211567761594,1.251014156752601,0.0,0.18,0.2156862745098038,0.5010557561514655,271.4,0.910683525101446,0.2167300380228136,4.120000000000001,0.8181541306346136,32.4,0.0500166315556048,6.85432,1767.6,0.3742730199148846,0.3378378378378378,9.8,-0.5939694007823817,3.496210004714098,544134.94,0.9052770996876784,0.0,1.1,0.7500000000000001,0.2247447531793182,0.9105865853584814,0.0,0.2999999999999999,4.620000000000001,1.20396570342555,0.26,0.3151862464183381,4.78,0.6236095644623237,fluorite
0.3374032680085437,0.3846153846153846,0.5789636426446829,0.1388888888888889,15.5,0.0237,12.20375,0.1282051282051282,17.0,0.3450377828158268,0.9871580262846124,0.0,0.225,0.1674509803921568,0.6298760185495685,404.125,1.233845889870619,0.4753363228699551,1.4625,0.5896955101034043,37.5,0.2350821993235271,1.21555,3133.75,0.6363223149995566,0.0229729729729729,18.075,-0.3487745631883793,3.000057551142969,317552.7875,0.785593850687987,0.0,1.375,0.25,0.4015795551428195,0.9105865853584814,0.0,0.1121212121212121,7.325,1.020202350701291,0.1625,0.086,22.85,0.7272727272727273,fluorite
0.304281570774794,0.3846153846153846,0.421076432569598,0.2708333333333333,13.125,0.2,10.0,0.3525641025641026,12.625,0.3331223166552273,1.432065697375415,0.0,0.225,0.196078431372549,0.6032031377942073,425.0,1.127854162155869,0.746031746031746,0.3999999999999999,0.8797959069706565,37.5,-2.427908440179344,5.447375,2768.5,0.352662554775042,0.4054054054054054,11.0,-0.2619807429296332,1.748105002357049,203844.0625,0.9052770996876784,0.0,1.375,0.375,0.4306003560921273,0.9105865853584814,0.0,0.3333333333333333,5.5,0.6710826970028441,0.157,0.2391304347826087,4.375,0.5651941652604391,fluorite
0.3870696174109302,0.3555555555555555,0.2400874667864314,0.5416666666666667,6.6,0.2,8.0,0.4358974358974359,8.799999999999999,0.0541649095735562,1.251014156752601,0.0,0.18,0.2156862745098038,0.5031258969855399,340.0,0.8741988474061669,0.5377358490566037,0.9800000000000002,0.8181541306346136,32.4,-2.427908440179344,8.7158,1767.6,0.498956295333151,0.2595419847328244,19.4,-0.5945068036640229,3.496210004714098,544134.94,0.9052770996876784,0.0,1.1,0.7500000000000001,0.1876064897756612,0.9105865853584814,0.0,0.4242424242424241,3.800000000000002,0.8037008178259489,0.2556,0.4782608695652173,2.400000000000001,0.3499271061118825,fluorite
0.253886102769489,0.4861111111111111,0.3217835605896645,0.4444444444444444,10.0,0.2,10.0,0.1538461538461538,16.5,0.3415723854063613,2.0,0.0,0.225,0.1509803921568627,0.5965393967197409,425.0,1.173924537412972,0.3574144486692015,2.1125,1.224790842364606,37.5,-0.855582658831356,8.367750000000001,2506.25,0.4814712546327584,0.1689189189189189,15.375,-0.2487417571834581,1.669524622950152,182432.4375,0.9052770996876784,0.0,1.375,0.375,0.4512204011913873,0.9105865853584814,0.0,0.15,7.0125,1.006809192223146,0.1525,0.2391304347826087,4.375,0.7272727272727273,fluorite
0.5220954116629707,0.2430555555555555,0.1890803666210515,0.5555555555555556,6.4,0.2,8.0,0.3076923076923077,10.8,0.0625211567761594,2.0,0.0,0.18,0.2156862745098038,0.503186186480005,340.0,0.9246774253125528,0.2167300380228136,4.120000000000001,1.224790842364606,30.0,-0.855582658831356,13.3884,1359.8,0.6262115852065969,0.1908396946564885,21.2,-0.5831725501066223,3.339049245900304,509876.34,0.9052770996876784,0.0,1.1,0.7500000000000001,0.2142975218972244,0.9105865853584814,0.0,0.2999999999999999,4.620000000000001,1.139787045734441,0.2166,0.3151862464183381,4.78,0.6236095644623237,fluorite
0.1239601476864264,0.7,0.0543928293220421,0.8571428571428571,0.8000000000000007,0.0,22.4,0.7096774193548387,16.2,0.0412833608870942,0.1420580802469634,0.6484375,0.18,0.64390243902439,0.038981394872286,184.8,0.1374756632797536,0.2258064516129032,3.36,0.0474380750796913,3.600000000000001,-0.1544826243551056,16.604,353.5999999999999,1.502496762591902,0.0416666666666666,27.6,-0.4526560407516977,4.691279989494039,354723.96,0.3042400096487548,0.4705882352941177,0.8999999999999999,0.4444444444444445,0.5264072490351313,0.8184072734315662,14.4,0.0,23.0,1.76630695015053,0.0,0.078,18.44,0.1880952224143645,spinel
0.1239601476864264,0.7,0.0543928293220421,0.8571428571428571,0.8000000000000007,0.0,22.4,0.7096774193548387,16.2,0.0412833608870942,0.1420580802469634,0.6484375,0.18,0.64390243902439,0.038981394872286,184.8,0.1374756632797536,0.2258064516129032,3.36,0.0474380750796913,3.600000000000001,-0.1544826243551056,16.604,353.5999999999999,1.502496762591902,0.0416666666666666,27.6,-0.4526560407516977,4.691279989494039,354723.96,0.3042400096487548,0.4705882352941177,0.8999999999999999,0.4444444444444445,0.5264072490351313,0.8184072734315662,14.4,0.0,23.0,1.76630695015053,0.0,0.078,18.44,0.1880952224143645,spinel
0.1279015820440033,0.69377990430622,1.373708422457973,0.087719298245614,26.0,0.0,24.0,0.6161137440758293,8.100000000000001,0.6001982838077176,0.4607631279026157,0.0,0.256,0.4225806451612903,0.4489754146485051,161.9,0.1478250224179303,0.1950413223140495,4.87,1.070773914496417,72.4,-0.1039779108947959,11.7949,2326.0,1.432737907676229,0.0055934959349593,30.578,-1.634679469560102,57.79131707307643,1762645.17,0.5493881571311554,0.24,0.95,0.1333333333333333,1.004716538222952,0.7259494733036247,9.0,0.0,8.200000000000001,2.23606797749979,3.0,0.0195,39.22,0.259271849091089,perovskite
